Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
myool_chassis,-0.0025949,1.6653E-16,0.003175,0,0,0,2.8701,0.019918,5.8875E-18,-8.948E-19,0.042638,2.3451E-19,0.061874,0,0,0,0,0,0,package://myool_urdf/meshes/myool_chassis.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://myool_urdf/meshes/myool_chassis.STL,,Link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
myool_front_right_wheel,-5.5511E-17,-0.021778,-6.245E-17,0,0,0,0.84556,0.001557,1.505E-19,3.8952E-11,0.0028888,2.8717E-09,0.001557,0,0,0,0,0,0,package://myool_urdf/meshes/myool_front_right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://myool_urdf/meshes/myool_front_right_wheel.STL,,Link6-1,Origin_myool_front_right_joint,Axis_myool_front_right_joint,myool_front_right_joint,continuous,0.14829,-0.21561,0.003175,0,0,0,myool_chassis,0,1,0,,,,,,,,,,,,
myool_front_left_wheel,-1.1102E-16,0.021778,9.7145E-17,0,0,0,0.84556,0.001557,1.0003E-18,-3.8952E-11,0.0028888,-2.8717E-09,0.001557,0,0,0,0,0,0,package://myool_urdf/meshes/myool_front_left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://myool_urdf/meshes/myool_front_left_wheel.STL,,Link9-1,Origin_myool_front_left_joint,Axis_myool_front_left_joint,myool_front_left_joint,continuous,0.14829,0.21561,0.003175,0,0,0,myool_chassis,0,-1,0,,,,,,,,,,,,
myool_rear_right_rocker,2.067E-17,-0.0031974,-1.9429E-16,0,0,0,0.32911,0.00015526,1.4694E-20,-1.017E-19,0.0020318,3.0888E-21,0.0018788,0,0,0,0,0,0,package://myool_urdf/meshes/myool_rear_right_rocker.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://myool_urdf/meshes/myool_rear_right_rocker.STL,,Link2-2,Origin_myool_rear_right_joint,Axis_myool_rear_right_joint,myool_rear_right_joint,continuous,-0.15651,-0.20097,0.003175,0,0,0,myool_chassis,0,1,0,,,,,,,,,,,,
myool_rear_right_rocker_rear_wheel,-1.3878E-17,-0.021778,-6.9389E-18,0,0,0,0.84556,0.001557,1.1E-09,2.7521E-11,0.0028888,2.6527E-09,0.001557,0,0,0,0,0,0,package://myool_urdf/meshes/myool_rear_right_rocker_rear_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://myool_urdf/meshes/myool_rear_right_rocker_rear_wheel.STL,,Link4-1,Origin_myool_rear_right_rocker_rear_joint,Axis_myool_rear_right_rocker_rear_joint,myool_rear_right_rocker_rear_joint,continuous,-0.1016,-0.01465,0,0,0,0,myool_rear_right_rocker,0,1,0,,,,,,,,,,,,
myool_rear_right_rocker_center_wheel,-1.3878E-17,-0.021778,-2.0817E-17,0,0,0,0.84556,0.001557,1.1E-09,2.7521E-11,0.0028888,2.6527E-09,0.001557,0,0,0,0,0,0,package://myool_urdf/meshes/myool_rear_right_rocker_center_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://myool_urdf/meshes/myool_rear_right_rocker_center_wheel.STL,,Link5-1,Origin_myool_rear_right_rocker_center_joint,Axis_myool_rear_right_rocker_center_joint,myool_rear_right_rocker_center_joint,continuous,0.1016,-0.01465,0,0,0,0,myool_rear_right_rocker,0,1,0,,,,,,,,,,,,
myool_rear_left_rocker,4.3112E-17,0.0031526,-1.9429E-16,0,0,0,0.32911,0.00015526,2.8787E-22,-1.0017E-19,0.0020318,3.2183E-21,0.0018788,0,0,0,0,0,0,package://myool_urdf/meshes/myool_rear_left_rocker.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://myool_urdf/meshes/myool_rear_left_rocker.STL,,Link3-1,Origin_myool_rear_left_joint,Axis_myool_rear_left_joint,myool_rear_left_joint,continuous,-0.15651,0.20097,0.003175,0,0,0,myool_chassis,0,1,0,,,,,,,,,,,,
myool_rear_left_rocker_rear_wheel,1.3878E-17,0.021778,-1.3878E-17,0,0,0,0.84556,0.001557,7.9382E-20,-3.8952E-11,0.0028888,-2.8717E-09,0.001557,0,0,0,0,0,0,package://myool_urdf/meshes/myool_rear_left_rocker_rear_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://myool_urdf/meshes/myool_rear_left_rocker_rear_wheel.STL,,Link7-1,Origin_myool_rear_left_rocker_rear_joint,Axis_myool_rear_left_rocker_rear_joint,myool_rear_left_rocker_rear_joint,continuous,-0.1016,0.01465,0,0,0,0,myool_rear_left_rocker,0,-1,0,,,,,,,,,,,,
myool_rear_left_rocker_center_wheel,-2.7756E-17,0.021778,-1.1102E-16,0,0,0,0.84556,0.001557,-1.4318E-19,-3.8952E-11,0.0028888,-2.8717E-09,0.001557,0,0,0,0,0,0,package://myool_urdf/meshes/myool_rear_left_rocker_center_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://myool_urdf/meshes/myool_rear_left_rocker_center_wheel.STL,,Link8-1,Origin_myool_rear_left_rocker_center_joint,Axis_myool_rear_left_rocker_center_joint,myool_rear_left_rocker_center_joint,continuous,0.1016,0.01465,0,0,0,0,myool_rear_left_rocker,0,-1,0,,,,,,,,,,,,
myool_battery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://myool_urdf/meshes/myool_battery.STL,1,1,1,1,0,0,0,0,0,0,package://myool_urdf/meshes/myool_battery.STL,,Link10-1,Origin_myool_battery_joint,,myool_battery_joint,fixed,0.097493,0.025146,0.00635,0,0,0,myool_chassis,0,0,0,,,,,,,,,,,,
